company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5y_pct,pat_cagr_5y_pct,eps_cagr_5yr,composite_quality_score,broad_sector_x,company_name,broad_sector_y,sub_sector,fiscal_year,previous_debt_to_equity,de_ratio_declining,revenue_cagr_3y_pct,peer_group_name,is_benchmark,score_roe,score_roce,score_margin,score_revenue_growth,score_profit_growth,score_debt,score_fcf,score_fcf_yield,score_pe,score_pb,composite_score,debt_free_flag,fcf_positive_flag,peer_score_roe,peer_score_margin,peer_score_revenue_growth,peer_score_profit_growth,peer_score_debt,peer_score_fcf,peer_composite_score,peer_group_size
HINDUNILVR,Sep 2024,,,0.0,0.03251536158815188,,0.0,0.0,,,216.0,,1651.0,0.0,-100.0,-100.0,,,Consumer Staples,"Hindustan Unilever Ltd
",Consumer Staples,FMCG,2024,0.02897418876176344,False,9.589435897156351,FMCG,True,42.857142857142854,50,,41.91919191919192,42.35294117647059,76.23762376237624,46.53465346534654,50,50,50,48.84661911569308,False,True,100.0,50.0,100.0,100.0,71.42857142857143,100.0,89.52380952380952,7.0
DMART,Sep 2024,,,0.0,0.03540570066540868,,0.0,0.0,,,309.0,,713.0,0.0,-100.0,-100.0,,,Consumer Discretionary,Avenue Supermarts Ltd,Consumer Discretionary,Retail,2024,0.03166114022890148,False,28.132551951927297,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,75.24752475247524,46.53465346534654,50,50,50,48.747609214702976,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
SUNPHARMA,Sep 2024,,,0.0,0.03721334008536497,,0.0,0.0,,,288.0,,2572.0,0.0,-100.0,-100.0,,,Healthcare,Sun Pharmaceuticals Industries Ltd,Healthcare,Pharmaceuticals,2024,0.051423814535002436,True,13.126755589483485,Pharmaceuticals,True,42.857142857142854,50,,41.91919191919192,42.35294117647059,74.25742574257426,46.53465346534654,50,50,50,48.64859931371288,False,True,100.0,50.0,100.0,100.0,40.0,100.0,85.33333333333333,5.0
HAVELLS,Sep 2024,,,0.0,0.042596869386707724,,0.0,0.0,,,124.0,,332.0,0.0,-100.0,-100.0,,,Industrials,Havells India Ltd,Industrials,Consumer Electricals,2024,0.040687525177924,False,21.14089015706202,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,73.26732673267327,46.53465346534654,50,50,50,48.54958941272278,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
DLF,Sep 2024,,,0.0,0.1066447908121411,,0.0,0.0,,,163.0,,4290.0,0.0,-100.0,,,,Real Estate,DLF Ltd,Real Estate,Real Estate,2024,0.12259389820192235,True,5.883921200220743,,,42.857142857142854,50,,41.91919191919192,,61.386138613861384,46.53465346534654,50,50,50,48.508529424371005,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
PIDILITIND,Sep 2024,,,0.0,0.043488238668961565,,0.0,0.0,,,171.0,,379.0,0.0,-100.0,-100.0,,,Materials,Pidilite Industries Ltd,Materials,Specialty Chemicals,2024,0.04543832520518616,True,19.2998469335665,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,72.27722772277228,46.53465346534654,50,50,50,48.45057951173268,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
HDFCLIFE,Sep 2024,,,0.0,0.06088182517303256,,0.0,0.0,,,73.0,,950.0,0.0,-100.0,-100.0,,,Financials,HDFC Life Insurance Company Ltd,Financials,Life Insurance,2024,0.06477567162143734,True,12.366704821498665,Life Insurance,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,70.29702970297029,46.53465346534654,50,50,50,48.25255970975248,False,True,100.0,50.0,100.0,100.0,0.0,100.0,80.0,4.0
TECHM,Sep 2024,,,0.0,0.07694925508583529,,0.0,0.0,,,270.0,,2035.0,0.0,-100.0,-100.0,,,Information Technology,Tech Mahindra Ltd,Information Technology,IT Services,2024,0.07694925508583529,False,11.160091311747644,IT Services,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,68.31683168316832,46.53465346534654,50,50,50,48.05453990777229,False,True,100.0,50.0,100.0,100.0,80.0,100.0,90.66666666666667,5.0
SHREECEM,Sep 2024,,,0.0,0.08055941376502708,,0.0,0.0,,,5787.0,,1682.0,0.0,-100.0,-100.0,,,Materials,Shree Cement Ltd,Materials,Cement,2024,0.07998840747717723,False,14.809971802418321,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,67.32673267326732,46.53465346534654,50,50,50,47.95553000678218,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
COALINDIA,Sep 2024,,,0.0,0.0812499350291589,,0.0,0.0,,,156.0,,7816.0,0.0,-100.0,-100.0,,,Materials,Coal India Ltd,Materials,Mining & Metals,2024,0.0788468512027076,False,16.493956528516662,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,66.33663366336633,46.53465346534654,50,50,50,47.856520105792086,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
