company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5y_pct,pat_cagr_5y_pct,eps_cagr_5yr,composite_quality_score,broad_sector_x,company_name,broad_sector_y,sub_sector,fiscal_year,previous_debt_to_equity,de_ratio_declining,revenue_cagr_3y_pct,peer_group_name,is_benchmark,score_roe,score_roce,score_margin,score_revenue_growth,score_profit_growth,score_debt,score_fcf,score_fcf_yield,score_pe,score_pb,composite_score,debt_free_flag,fcf_positive_flag,peer_score_roe,peer_score_margin,peer_score_revenue_growth,peer_score_profit_growth,peer_score_debt,peer_score_fcf,peer_composite_score,peer_group_size
LODHA,Sep 2024,,,0.0,0.4393972723273207,,0.0,0.0,,,183.0,,7990.0,0.0,-100.0,-100.0,,,Real Estate,Macrotech Developers Ltd,Real Estate,Real Estate,2024,0.4406663232010991,True,23.70811095275156,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,43.56435643564357,46.53465346534654,50,50,50,45.57929238301981,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
HINDALCO,Sep 2024,,,0.0,0.5292682503299299,,0.0,0.0,,,153.0,,60959.0,0.0,-100.0,-100.0,,,Materials,Hindalco Industries Ltd,Materials,Metals & Mining,2024,0.5309290976579428,True,17.830855223435172,Steel,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,42.57425742574258,46.53465346534654,50,50,50,45.48028248202971,False,True,100.0,50.0,100.0,100.0,50.0,100.0,86.66666666666667,4.0
TATAMOTORS,Sep 2024,,,0.0,1.0542934040489995,,0.0,0.0,,,275.0,,106549.0,0.0,-100.0,,,,Consumer Discretionary,Tata Motors Ltd,Consumer Discretionary,Automobiles,2024,1.2631244259167669,True,20.579364569370973,Automobiles,False,42.857142857142854,50,,41.91919191919192,,30.6930693069307,46.53465346534654,50,50,50,45.43922249367794,False,True,100.0,50.0,100.0,50.0,28.57142857142857,100.0,73.80952380952381,7.0
JSWENERGY,Sep 2024,,,0.0,1.1030352865467803,,0.0,0.0,,,160.0,,30853.0,0.0,-100.0,-100.0,,,Energy,JSW Energy Ltd,Energy,Power & Utilities,2024,1.5156009984639016,True,18.389287172901202,Power & Utilities,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,28.712871287128717,46.53465346534654,50,50,50,44.094143868168324,False,True,100.0,50.0,100.0,100.0,57.14285714285714,100.0,87.61904761904763,7.0
BHARTIARTL,Sep 2024,,,0.0,2.5895083698822017,,0.0,0.0,,,153.0,,225541.0,0.0,-100.0,,,,Communication Services,Bharti Airtel Ltd,Communication Services,Telecommunications,2024,2.6094723973904306,True,14.232767250604962,,,42.857142857142854,50,,41.91919191919192,,16.831683168316836,46.53465346534654,50,50,50,44.05308387981655,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
NTPC,Sep 2024,,,0.0,1.4382012456023583,,0.0,0.0,,,174.0,,242009.0,0.0,-100.0,-100.0,,,Energy,NTPC Ltd,Energy,Power & Utilities,2024,1.4755211250077782,True,16.971938102031615,Power & Utilities,True,42.857142857142854,50,,41.91919191919192,42.35294117647059,25.742574257425744,46.53465346534654,50,50,50,43.797114165198025,False,True,100.0,50.0,100.0,100.0,28.57142857142857,100.0,83.80952380952381,7.0
ADANIGREEN,Sep 2024,,,0.0,6.375756429652043,,0.0,0.0,,,67.0,,67430.0,0.0,-100.0,,,,Energy,Adani Green Energy Ltd,Energy,Renewable Energy,2024,6.595281675818589,True,43.44099813858789,Power & Utilities,False,42.857142857142854,50,,41.91919191919192,,10.89108910891089,46.53465346534654,50,50,50,43.45902447387596,False,True,100.0,50.0,100.0,50.0,0.0,100.0,70.0,7.0
ADANIENSOL,Sep 2024,,,0.0,1.8588992137240887,,0.0,0.0,,,175.0,,39009.0,0.0,-100.0,-100.0,,,Energy,Adani Energy Solutions Ltd,Energy,Power & Utilities,2024,2.9325211613005298,True,18.715011322879892,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,21.78217821782178,46.53465346534654,50,50,50,43.40107456123763,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
TVSMOTOR,Sep 2024,,,0.0,1.88389175257732,,0.0,0.0,,,,,14619.0,0.0,-100.0,-100.0,,,Consumer Discretionary,TVS Motor Company Ltd,Consumer Discretionary,Two Wheelers,2024,3.833431603773585,True,26.31887127852206,Automobiles,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,20.79207920792079,46.53465346534654,50,50,50,43.30206466024753,False,True,100.0,50.0,100.0,100.0,0.0,100.0,80.0,7.0
BAJFINANCE,Sep 2024,,,0.0,3.735101321382901,,0.0,0.0,,,1402.0,,324218.0,0.0,-100.0,-100.0,,,Financials,Bajaj Finance Ltd,Financials,Consumer Finance,2024,3.824788776468134,True,27.259405758095312,Consumer Finance,True,42.857142857142854,50,,41.91919191919192,42.35294117647059,14.851485148514854,46.53465346534654,50,50,50,42.70800525430694,False,True,100.0,50.0,100.0,100.0,66.66666666666667,100.0,88.8888888888889,3.0
SHRIRAMFIN,Sep 2024,,,0.0,3.966636127653077,,0.0,0.0,,,279.0,,207820.0,0.0,-100.0,-100.0,,,Financials,"Shriram Finance Ltd
",Financials,Consumer Finance,2024,3.994034363699512,True,27.82625310142639,Consumer Finance,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,13.861386138613863,46.53465346534654,50,50,50,42.608995353316836,False,True,100.0,50.0,100.0,100.0,33.333333333333336,100.0,84.44444444444444,3.0
BAJAJFINSV,Sep 2024,,,0.0,4.664105378704719,,0.0,0.0,,,428.0,,318675.0,0.0,-100.0,-100.0,,,Financials,Bajaj Finserv Ltd,Financials,Diversified Financials,2024,4.789368120938867,True,22.131490415528443,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,11.881188118811881,46.53465346534654,50,50,50,42.41097555133664,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
IRFC,Sep 2024,,,0.0,7.832721266880403,,0.0,0.0,,,39.0,,403111.0,0.0,-100.0,-100.0,,,Financials,Indian Railway Finance Corporation Ltd,Financials,Speciality Finance,2024,8.378352548852153,True,19.101938730495593,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,4.950495049504955,46.53465346534654,50,50,50,41.717906244405945,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
