company_id,year,fiscal_year,net_profit_margin_pct,operating_profit_margin_pct,pbt_margin_pct,ebit_margin_pct,expense_ratio_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,debt_to_assets,debt_to_capital,liabilities_to_assets,interest_coverage,net_debt_cr,net_debt_to_ebitda,cash_from_operations_cr,free_cash_flow_cr,capex_cr,cfo_margin_pct,fcf_margin_pct,cfo_to_pat,capex_to_sales_pct,fcf_to_ebitda,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,earnings_yield_pct,fcf_yield_pct,revenue_yoy_growth_pct,pat_yoy_growth_pct,eps_yoy_growth_pct,operating_profit_yoy_growth_pct,revenue_cagr_3y_pct,pat_cagr_3y_pct,eps_cagr_3y_pct,operating_profit_cagr_3y_pct,revenue_cagr_5y_pct,pat_cagr_5y_pct,eps_cagr_5y_pct,operating_profit_cagr_5y_pct,revenue_cagr_10y_pct,pat_cagr_10y_pct,eps_cagr_10y_pct,operating_profit_cagr_10y_pct,debt_free_flag,negative_equity_flag,cfo_positive_flag,fcf_positive_flag,high_quality_earnings_flag,fcf_negative_3yr_flag,revenue_growth_positive_flag,pat_growth_positive_flag,capital_allocation_pattern,id,company_name,broad_sector,sub_sector,score_roe,score_roce,score_margin,score_revenue_growth,score_profit_growth,score_debt,score_fcf,score_fcf_yield,score_pe,score_pb,composite_score
ASIANPAINT,Mar 2024,2024,15.658543456824903,21.3692069305536,20.701507254542896,18.96605155655726,78.6307930694464,29.677488252883386,31.75172153570418,18.58800709006388,0.1321016659547202,0.0827397077020835,0.1166871049900952,1.0,41.00487804878049,-2114,-0.2787079762689519,6104.0,3556.0,2548.0,17.196788280039442,10.018312438371602,1.0982367758186398,7.17847584166784,0.4688200395517469,57.0,195.08333333333331,58.0,2126725.18,2475080.63,73.37,3.9,23.94,2.42,1.362954886193267,0.1672054308399169,2.9168720461596465,32.491060786650785,32.558139534883715,21.16613418530351,17.801037676951047,20.11756716333324,19.983162620797668,16.02697482518616,13.029660349453076,20.277362101955056,20.973552688431266,15.037151912333655,11.25245350301849,15.971565352132288,15.929283130870008,14.23673625033237,False,False,True,True,True,False,True,True,Reinvesting + Returning Capital,ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Paints & Coatings,81.63265306122449,79.38144329896907,62.244897959183675,56.70103092783505,62.5,58.16326530612245,64.94845360824742,54.44444444444444,5.494505494505497,83.51648351648352,65.0184802311091
COALINDIA,Mar 2024,2024,26.25628846856468,66.29380849329698,34.297096765127456,61.56164807059948,0.5754475703324808,45.16982956605826,98.1670083918748,15.802850255846408,0.0788468512027076,0.0275848944897872,0.0730843781161417,1.0,11.24178180085755,-587,-0.0062213837544514,18103.0,13617.0,4486.0,12.71956943312442,9.56760630673674,0.4844389734806925,3.151963126387679,0.1443212650500254,61.0,134.23657309751746,42.0,454024.84,574785.39,34.27,14.75,25.15,4.38,2.9180040852057187,2.9991751112119767,2.9453461794404445,17.79781231283295,17.307692307692314,0.3531163582216612,16.493956528516662,43.28908935217686,42.6823258428825,9.737489710891968,7.402890725901301,16.43231987118112,16.851518569430034,4.815838017703267,7.261143616999366,9.476008121750844,9.777126683205474,5.968597477471205,False,False,True,True,False,False,True,True,Reinvesting + Returning Capital,COALINDIA,Coal India Ltd,Materials,Mining & Metals,89.79591836734694,89.69072164948454,86.73469387755102,16.49484536082474,54.54545454545454,69.38775510204081,82.4742268041237,88.88888888888889,62.637362637362635,0.0,64.5705766987063
ABB,Mar 2024,2024,20.53342451701145,24.84185330825782,27.662848350145325,23.627970593263807,75.15814669174217,32.46823465801568,36.541512427287145,23.127286732139417,0.0224384968910516,0.0159830541113036,0.0219460602855631,1.0,141.75,83,0.05712319339298,1213.0,797.0,416.0,20.73858779278509,13.626260899299025,1.009991673605329,7.112326893486067,0.5485203028217481,565.0,1761.428571428571,73.0,1536236.24,1619349.16,75.58,4.48,12.63,0.96,1.3231013495633763,0.0518800415748557,9.347541596560106,26.55426765015807,26.39821029082774,20.480928689883918,10.713721789385655,20.232437941096727,20.24167817921956,16.37103521730705,9.716101277290168,21.69314043381163,21.65851677781967,19.152195186350383,9.89829036473968,19.75338045077737,19.772344260550724,18.46101113815777,False,False,True,True,True,False,True,True,Reinvesting + Returning Capital,ABB,Abbott India Ltd,Industrials,Capital Goods,83.6734693877551,82.4742268041237,78.57142857142857,37.11340206185567,67.04545454545455,83.6734693877551,38.144329896907216,37.77777777777778,4.395604395604391,74.72527472527473,64.5409496615314
BEL,Mar 2024,2024,19.661535425300965,24.921057825143084,25.98184329978291,22.735346358792185,75.07894217485692,4744.047619047619,3628.346456692913,2475.1552795031057,0.5119047619047619,0.2670807453416149,0.3385826771653543,1.0,476.75,42,0.008315185111859,4659.0,-1265.0,5924.0,22.98697454114861,-6.241365699625025,1.1691342534504392,29.228340240773637,-0.2504454563452781,5.0,7.636363636363637,40.0,1354781.06,1259877.04,17.89,9.22,23.14,0.76,5.589714924538848,-0.0933730207300063,14.288936506146378,33.45612860013396,25.0,23.496332518337404,12.8335418079377,23.80447523322802,18.56311014966876,16.2636175759054,10.7508063318833,16.12648618019128,10.756634324829006,11.667483581191828,12.01331595775741,15.392913221732885,17.461894308801895,18.50142247169109,False,False,True,False,True,False,True,True,Reinvesting + Returning Capital,BEL,Bharat Electronics Ltd,Industrials,Defence Electronics,100.0,98.96907216494846,72.44897959183673,43.29896907216495,52.27272727272727,44.89795918367348,24.742268041237114,25.555555555555554,85.71428571428572,36.26373626373627,64.48893705705193
ATGL,Mar 2024,2024,14.927374301675975,24.67039106145252,20.022346368715084,21.139664804469277,75.3296089385475,18.65921787709497,18.41541755888651,10.133495145631068,0.4349162011173184,0.2361953883495145,0.3030951917461553,1.0,10.504504504504505,851,0.7708333333333334,,,,,,,,,6.0,32.54545454545455,4.0,1535602.41,1925338.89,56.96,5.76,28.93,0.51,1.75561797752809,,2.215623572407499,22.344322344322357,20.0,26.89655172413794,38.18335427451367,12.99654305433795,14.471424255333186,16.18020490104206,21.08864867789759,23.8762916927858,24.57309396155174,19.396483316642232,,,,,False,False,False,False,False,False,True,True,Mixed / Neutral,ATGL,Adani Total Gas Ltd,Energy,Gas Distribution,60.204081632653065,62.88659793814433,58.16326530612245,88.65979381443299,78.4090909090909,47.95918367346938,,,30.76923076923077,63.73626373626373,63.8614542673821
LT,Mar 2024,2024,7.031246466738726,13.506668535997433,9.278965958582264,11.841456630772502,86.49333146400257,77.66510140873214,118.53411200144868,56.44423467905896,0.1034568888000799,0.0751887888469358,0.0937570736565711,1.0,3.5441547518923464,-6673,-0.2234388079691947,18266.0,20445.0,2179.0,8.260934454328781,9.24640342268433,1.1748890461182222,0.9854689683555468,0.6845806127574083,95.0,1334.5333333333333,36.0,1124597.5,1097873.76,30.8,2.48,16.63,1.26,3.2467532467532463,1.8179837675257149,20.602047550738774,24.06831058973744,26.66666666666666,9.935213134064648,17.592821624288746,6.361264204860495,5.027553928675843,8.378924532869014,10.335347989682408,8.75885858017449,8.56169392953159,5.485912479597688,10.02514597108597,12.273743409690365,10.500834061722086,7.80464741199991,False,False,True,True,True,False,True,True,Asset Sale + Debt/Dividend Outflow,LT,Larsen & Toubro Ltd,Industrials,Engineering & Construction,95.91836734693877,91.75257731958763,24.489795918367346,39.175257731958766,21.59090909090909,61.73469387755102,89.69072164948454,83.33333333333334,70.87912087912088,90.10989010989012,62.90653841739998
DRREDDY,Mar 2024,2024,19.9136053693192,28.321016743422227,25.707757666630965,23.073078433472563,71.67898325657778,19.74233736816026,21.361052353252248,14.383702939659615,0.0708572237559283,0.051624548736462,0.0661686938127974,1.0,51.707602339181285,-2928,-0.3690911382831211,4543.0,509.0,4034.0,16.21862839598729,1.817143265145836,0.8144496235209753,14.401485130841454,0.0641623597630152,67.0,340.4096385542169,12.0,2441803.28,2725256.67,11.73,10.19,14.56,0.09,8.525149190110827,0.0208452500727249,13.542764491284952,23.76303527845573,24.07407407407407,22.612055641421943,13.71726615103832,41.90561020689674,42.81779454599071,26.98700466701951,12.639644349571988,23.392504645437477,23.842409558387544,20.07613827776371,7.640025915260695,11.008394366816532,11.284504563028698,9.330679798725484,False,False,True,True,False,False,True,True,Reinvesting + Returning Capital,DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,Pharmaceuticals,62.244897959183675,69.0721649484536,74.48979591836735,53.608247422680414,73.86363636363636,70.40816326530613,35.051546391752574,35.55555555555556,93.4065934065934,24.17582417582418,62.6924134407566
TCS,Mar 2024,2024,19.136712150207767,26.69068839692312,25.736322765709257,24.621304894704288,73.30931160307689,50.944313673485176,60.2081007004365,31.689259788825343,0.0886406082507266,0.0551377584689837,0.0814232057659121,1.0,87.09511568123393,-23741,-0.3692453651860147,44338.0,50429.0,6091.0,18.405682190848218,20.934190698774973,0.9617996051975096,2.528508507926756,0.7843256190120692,127.0,249.9696132596685,58.0,461188.15,542230.13,78.69,6.08,29.94,1.62,1.2708095056551023,10.934582772779397,6.846064455463985,8.973358863437575,10.43478260869566,8.499974687389255,13.632864555506409,12.286310199806591,13.007434657986106,11.369737677079296,10.463614801716602,7.871172131953608,8.618771612987096,10.231109621967692,11.404391189817977,9.07908137484088,9.991915190476195,9.839719825625814,False,False,True,True,False,False,True,True,Asset Sale + Debt/Dividend Outflow,TCS,Tata Consultancy Services Ltd,Information Technology,IT Services,92.85714285714286,86.5979381443299,70.40816326530613,40.20618556701031,18.181818181818183,66.3265306122449,100.0,100.0,1.098901098901095,60.98901098901099,62.45432770469589
BPCL,Mar 2024,2024,5.994201967046283,9.83790949444634,8.077521352070933,8.326805524869277,90.16209050555366,35.511337343822305,28.649200669564017,13.26907686075349,0.7218747934157467,0.2697339169441453,0.4192376798685443,1.0,11.355507351168956,27968,0.6344539721428247,35936.0,25415.0,10521.0,8.019942733823868,5.671940243213869,1.3379500353698943,2.3480024906099985,0.5765391769883399,62.0,354.09644194756555,33.0,468662.13,606487.07,68.15,0.72,26.59,1.15,1.467351430667645,5.422883218663305,-5.305302132138035,1160.3941811356171,1140.0,304.4591246903385,24.863629368132333,15.748130122124548,18.776353612992548,28.0384589577418,8.483226324685255,25.790698729746552,28.06304880261565,23.876198430933915,5.4159319078910695,20.81791134772764,21.28718543006496,16.69404915009862,False,False,True,True,True,False,False,True,Reinvesting + Returning Capital,BPCL,Bharat Petroleum Corporation Ltd,Energy,Oil & Gas Refining,85.71428571428571,78.35051546391753,20.408163265306122,26.804123711340207,82.95454545454545,38.775510204081634,92.78350515463917,93.33333333333333,15.384615384615385,98.9010989010989,61.98452412830174
ICICIBANK,Mar 2024,2024,28.8880112339828,62.41380175029464,37.88585471049926,61.20075729080469,46.45803555756162,17.99027109750765,5.11888931768417,1.9492289334082888,6.445624336310825,0.6983773275077695,0.8656929285133015,1.0,1.3009461331381824,823845,8.274859381277622,157284.0,12547.0,144737.0,98.60076732114646,7.865668647659168,3.413207178663657,90.7350986734873,0.1260245078344716,63.0,364.617793594306,16.0,1319221.86,1598760.1,25.76,6.2,38.28,3.43,3.881987577639751,0.9510909711578004,31.758447801630503,29.948394010321188,28.57142857142858,13.311481380315035,21.39660074377121,31.28635844345755,32.63524026321307,2.925685264253297,17.25086850260209,51.94877118224903,55.18455739153598,3.5128080954233587,12.41864172369489,14.714696775470282,13.995881918674137,11.72550011916913,False,False,True,True,True,False,True,True,Growth Funded by Financing,ICICIBANK,ICICI Bank Ltd,Financials,Private Banks,57.14285714285714,19.587628865979383,88.77551020408163,75.25773195876289,94.31818181818183,10.204081632653061,80.41237113402062,73.33333333333333,79.12087912087912,59.34065934065934,61.80823318801964
